Participante,Centro,Curso,Temario,Al menos 7h 30',Último tema terminado,Al menos ha visto un 75%,Actividad (#eventos),Numero de videos reproducidos,Numero de respuestas,Tiempo mirando videos,Tiempo siguiendo curso,Hora comienzo curso,Hora ultima actividad
5,C072 - Residencia Juan Pablo II de San Martín de Valdeiglesias,RETO072,RETOMadrID - Curso de uso básico de ordenador,false,false,false,90,5,20,00:19:59,00:50:07,2024-11-06 12:07:39.128000+01:00 CET Europe/Madrid,2024-11-27 11:54:44.897000+01:00 CET Europe/Madrid
4,C102 - Residencia San Juan Bautista de Aldea del Fresno,RETO102,RETOMadrID - Curso de uso básico de ordenador,false,false,false,301,36,38,03:08:29,06:49:07,2025-03-05 17:46:17.063000+01:00 CET Europe/Madrid,2025-03-24 18:43:02.750000+01:00 CET Europe/Madrid
4,C064 - Biblioteca Municipal de Brunete,RETO064,RETOMadrID - Curso de uso básico de ordenador,false,false,false,142,18,25,01:27:25,02:09:37,2024-12-10 17:23:56.171000+01:00 CET Europe/Madrid,2024-12-17 17:29:22.354000+01:00 CET Europe/Madrid
10,C029 - Casa de la Cultura de Villanueva de Perales,RETO029,RETOMadrID - Curso de uso básico de ordenador,true,false,true,547,66,71,06:10:42,08:58:15,2024-09-30 12:05:32.491000+02:00 CEST Europe/Madrid,2024-12-11 12:46:38.174000+01:00 CET Europe/Madrid
prueba3,C016 - Biblioteca Pública Municipal de Rascafría,RETO016,RETOMadrID - Curso de uso básico de ordenador,false,false,false,11,1,1,00:03:59,00:20:24,2024-10-09 10:48:53.779000+02:00 CEST Europe/Madrid,2024-10-09 15:33:14.468000+02:00 CEST Europe/Madrid
prueba1,C041 - Centro Cívico Antonio Simón Cuevas de Villamanta,RETO041,RETOMadrID - Curso de uso básico de ordenador,false,false,false,7,0,0,00:00:23,00:01:51,2024-11-15 10:29:10.687000+01:00 CET Europe/Madrid,2024-11-15 10:31:01.482000+01:00 CET Europe/Madrid
3,C029 - Casa de la Cultura de Villanueva de Perales,RETO029,RETOMadrID - Curso de uso básico de ordenador,true,false,true,504,66,71,05:54:02,09:10:00,2024-09-16 14:28:00.747000+02:00 CEST Europe/Madrid,2024-12-11 11:56:37.764000+01:00 CET Europe/Madrid
2,C034 - Biblioteca Municipal Luis Parra La Casona de Villanueva del Pardillo,RETO034,RETOMadrID - Curso de uso básico de ordenador,true,false,true,407,54,40,05:13:02,08:45:31,2022-05-26 19:25:01.243000+02:00 CEST Europe/Madrid,2024-10-09 12:00:50.240000+02:00 CEST Europe/Madrid
17,C107 - Ayuntamiento de Daganzo de Arriba,RETO107,RETOMadrID - Curso de uso básico de ordenador,false,false,false,283,48,37,03:18:01,04:16:13,2025-03-17 11:13:52.159000+01:00 CET Europe/Madrid,2025-03-21 13:19:23.453000+01:00 CET Europe/Madrid
prueba1,"C008 - Coworking Puerta de la Sierra. Cotos de Monterrey, Venturada",RETO008,RETOMadrID - Curso de uso básico de ordenador,false,false,false,190,23,0,02:34:18,07:13:09,2024-07-04 11:02:03.308000+02:00 CEST Europe/Madrid,2024-09-17 14:30:34.607000+02:00 CEST Europe/Madrid
3,C104 - CEPA Sierra de Guadarrama,RETO104,RETOMadrID - Curso de uso básico de ordenador,false,true,false,510,11,19,00:14:37,03:45:12,2025-02-07 10:04:24.733000+01:00 CET Europe/Madrid,2025-02-21 11:02:04.018000+01:00 CET Europe/Madrid
17,C038 - Biblioteca Municipal María Moliner de Velilla de San Antonio,RETO038,RETOMadrID - Curso de uso básico de ordenador,false,false,false,253,28,27,03:08:45,04:28:41,2024-10-02 12:21:34.540000+02:00 CEST Europe/Madrid,2024-10-29 14:35:39.024000+01:00 CET Europe/Madrid
prueba1,C086 - Biblioteca Municipal de El Escorial,RETO086,RETOMadrID - Curso de uso básico de ordenador,false,false,false,16,3,0,00:15:24,00:46:59,2025-01-15 10:15:29.435000+01:00 CET Europe/Madrid,2025-01-17 14:18:45.110000+01:00 CET Europe/Madrid
4,C068 - Aula Villar del Olmo CEPA Torres de la Alameda,RETO068,RETOMadrID - Curso de uso básico de ordenador,true,false,true,1038,66,70,08:11:41,13:15:16,2024-10-10 19:09:58.180000+02:00 CEST Europe/Madrid,2024-11-07 20:55:20.111000+01:00 CET Europe/Madrid
10,C049 - Centro de Lectura Juana Kéiser de Fresnedillas de la Oliva,RETO049,RETOMadrID - Curso de uso básico de ordenador,true,false,true,490,66,71,05:08:18,07:53:42,2024-10-11 12:33:49.417000+02:00 CEST Europe/Madrid,2025-03-19 14:26:19.141000+01:00 CET Europe/Madrid
6,C037 - Centro de lectura María Moliner de Estremera,RETO037,RETOMadrID - Curso de uso básico de ordenador,true,false,false,412,36,28,05:09:41,09:38:17,2024-08-08 09:52:37.160000+02:00 CEST Europe/Madrid,2024-11-15 18:18:38.711000+01:00 CET Europe/Madrid
